Channel,x,y,x_now,y_now
0,-6,0,-3.15193193290638,5.63074313602244
1,-30,6.66,-10.0926421911347,32.7124277248413
2,-18,6.66,-3.78877832532191,22.5015854304319
3,-6,6.66,2.51508554049085,12.2907431360224
4,-30,13.32,-4.42562471773744,39.3724277248413
5,-18,13.32,1.87823914807532,29.1615854304319
6,-6,13.32,8.18210301388808,18.9507431360224
7,-30,19.98,1.2413927556598,46.0324277248413
8,-18,19.98,7.54525662147255,35.8215854304319
9,-6,19.98,13.8491204872853,25.6107431360224
10,-24,26.64,10.0603421619634,47.5870065776366
11,-12,26.64,16.3642060277762,37.3761642832272
12,0,26.64,22.6680698935889,27.1653219888177
13,-18,33.3,18.879291568267,49.1415854304319
14,-6,33.3,25.1831554340798,38.9307431360224
15,-6,39.96,30.850172907477,45.5907431360224
16,-6,-39.96,-30.850172907477,-44.540099158387
17,-18,-33.3,-37.7908831657053,-17.4584145695681
18,-6,-33.3,-31.4870192998925,-27.6692568639776
19,-24,-26.64,-35.2757976252144,-5.69299342236343
20,-12,-26.64,-28.9719337594017,-15.9038357167729
21,-30,-19.98,-32.7607120847236,6.07242772484128
22,-18,-19.98,-26.4568482189108,-4.13841456956814
23,-6,-19.98,-20.1529843530981,-14.3492568639776
24,-30,-13.32,-27.0936946113264,12.7324277248413
25,-18,-13.32,-20.7898307455136,2.52158543043186
26,-6,-13.32,-14.4859668797008,-7.68925686397756
27,-30,-6.66,-21.4266771379291,19.3924277248413
28,-18,-6.66,-15.1228132721164,9.18158543043186
29,-6,-6.66,-8.81894940630361,-1.02925686397756
30,-30,0,-15.7596596645319,26.0524277248413
31,-18,0,-9.45579579871914,15.8415854304319
32,30,0,15.7596596645319,-25.0017837472058
33,6,-6.66,-2.51508554049085,-11.240099158387
34,18,-6.66,3.78877832532191,-21.4509414527964
35,30,-6.66,10.0926421911347,-31.6617837472058
36,6,-13.32,-8.18210301388808,-17.900099158387
37,18,-13.32,-1.87823914807532,-28.1109414527964
38,30,-13.32,4.42562471773744,-38.3217837472058
39,6,-19.98,-13.8491204872853,-24.560099158387
40,18,-19.98,-7.54525662147255,-34.7709414527964
41,30,-19.98,-1.2413927556598,-44.9817837472058
42,0,-26.64,-22.6680698935889,-26.1146780111823
43,12,-26.64,-16.3642060277762,-36.3255203055917
44,24,-26.64,-10.0603421619634,-46.5363626000011
45,6,-33.3,-25.1831554340798,-37.880099158387
46,18,-33.3,-18.879291568267,-48.0909414527964
47,6,-39.96,-30.850172907477,-44.540099158387
48,6,39.96,37.1540367732898,35.379900841613
49,6,33.3,31.4870192998925,28.719900841613
50,18,33.3,37.7908831657053,18.5090585472036
51,12,26.64,28.9719337594017,16.9544796944083
52,24,26.64,35.2757976252144,6.74363739999889
53,6,19.98,20.1529843530981,15.399900841613
54,18,19.98,26.4568482189108,5.1890585472036
55,30,19.98,32.7607120847236,-5.02178374720582
56,6,13.32,14.4859668797008,8.73990084161302
57,18,13.32,20.7898307455136,-1.4709414527964
58,30,13.32,27.0936946113264,-11.6817837472058
59,6,6.66,8.81894940630361,2.07990084161302
60,18,6.66,15.1228132721164,-8.1309414527964
61,30,6.66,21.4266771379291,-18.3417837472058
62,6,0,3.15193193290638,-4.58009915838698
63,18,0,9.45579579871914,-14.7909414527964
